seq_id	start	end	seq_id2	start2	end2	strand
IC_C01	14356513	14356553	IG_C01	14673246	14673286	+
IG_C01	14673246	14673286	IH_C01	14060205	14060245	+
IH_C01	14060205	14060245	II_C01	15018332	15018372	+
II_C01	15018332	15018372	IJ_C01	14574617	14574657	+
IC_C01	14359013	14359053	IG_C01	14675912	14675952	+
IG_C01	14675912	14675952	IH_C01	14062804	14062844	+
IH_C01	14062804	14062844	II_C01	15020832	15020872	+
II_C01	15020832	15020872	IJ_C01	14576963	14577003	+
IC_C01	14370821	14370861	IG_C01	14687466	14687506	+
IG_C01	14687466	14687506	IH_C01	14074509	14074549	+
IH_C01	14074509	14074549	II_C01	15032642	15032682	+
II_C01	15032642	15032682	IJ_C01	14588767	14588807	+
IC_C01	14402565	14402605	IG_C01	14718920	14718960	+
IG_C01	14718920	14718960	IH_C01	14104658	14104698	+
IH_C01	14104658	14104698	II_C01	15064562	15064602	+
II_C01	15064562	15064602	IJ_C01	14620229	14620269	+
IC_C01	14430886	14430926	IG_C01	14742786	14742826	+
IG_C01	14742786	14742826	IH_C01	14134756	14134796	+
IH_C01	14134756	14134796	II_C01	15090437	15090477	+
II_C01	15090437	15090477	IJ_C01	14643477	14643517	+
IC_C01	14436524	14436564	IG_C01	14748545	14748585	+
IG_C01	14748545	14748585	IH_C01	14149918	14149958	+
IH_C01	14149918	14149958	II_C01	15096100	15096140	+
II_C01	15096100	15096140	IJ_C01	14649834	14649874	+
IC_C01	14442141	14442181	IG_C01	14749912	14749952	+
IG_C01	14749912	14749952	IH_C01	14151330	14151370	+
IH_C01	14151330	14151370	II_C01	15103466	15103506	+
II_C01	15103466	15103506	IJ_C01	14657229	14657269	+
IC_C01	14468798	14468838	IG_C01	14777268	14777308	+
IG_C01	14777268	14777308	IH_C01	14171729	14171769	+
IH_C01	14171729	14171769	II_C01	15117793	15117833	+
II_C01	15117793	15117833	IJ_C01	14671559	14671599	+
IC_C01	14472075	14472115	IG_C01	14780375	14780415	+
IG_C01	14780375	14780415	IH_C01	14175001	14175041	+
IH_C01	14175001	14175041	II_C01	15121226	15121266	+
II_C01	15121226	15121266	IJ_C01	14674997	14675037	+
IC_C01	14495024	14495064	IG_C01	14797494	14797534	+
IG_C01	14797494	14797534	IH_C01	14197439	14197479	+
IH_C01	14197439	14197479	II_C01	15145052	15145092	+
II_C01	15145052	15145092	IJ_C01	14697968	14698008	+
IC_C01	14504253	14504293	IG_C01	14807147	14807187	+
IG_C01	14807147	14807187	IH_C01	14221674	14221714	+
IH_C01	14221674	14221714	II_C01	15158904	15158944	+
II_C01	15158904	15158944	IJ_C01	14711815	14711855	+
IC_C01	14509555	14509595	IG_C01	14812313	14812353	+
IG_C01	14812313	14812353	IH_C01	14226817	14226857	+
IH_C01	14226817	14226857	II_C01	15164124	15164164	+
II_C01	15164124	15164164	IJ_C01	14717103	14717143	+
